participant_id,arm,converted,city,age
p0001,a,1,北京,25
p0002,a,0,上海,25
p0003,a,1,广州,25
p0004,a,0,北京,35
p0005,a,1,上海,35
p0006,a,0,广州,35
p0007,a,1,北京,25
p0008,a,0,上海,25
p0009,a,1,广州,25
p0010,a,0,北京,35
p0011,a,1,上海,35
p0012,a,0,广州,35
p0013,a,1,北京,25
p0014,a,0,上海,25
p0015,a,1,广州,25
p0016,a,0,北京,35
p0017,a,1,上海,35
p0018,a,0,广州,35
p0019,a,1,北京,25
p0020,a,0,上海,25
p0021,a,1,广州,25
p0022,a,0,北京,35
p0023,a,1,上海,35
p0024,a,0,广州,35
p0025,a,1,北京,25
p0026,a,0,上海,25
p0027,a,1,广州,25
p0028,a,0,北京,35
p0029,a,1,上海,35
p0030,a,0,广州,35
p0031,a,1,北京,25
p0032,a,0,上海,25
p0033,a,1,广州,25
p0034,a,0,北京,35
p0035,a,1,上海,35
p0036,a,0,广州,35
p0037,a,1,北京,25
p0038,a,0,上海,25
p0039,a,1,广州,25
p0040,a,0,北京,35
p0041,a,1,上海,35
p0042,a,0,广州,35
p0043,a,1,北京,25
p0044,a,0,上海,25
p0045,a,1,广州,25
p0046,a,0,北京,35
p0047,a,1,上海,35
p0048,a,0,广州,35
p0049,a,1,北京,25
p0050,a,0,上海,25
p0051,a,1,广州,25
p0052,a,0,北京,35
p0053,a,1,上海,35
p0054,a,0,广州,35
p0055,a,1,北京,25
p0056,a,0,上海,25
p0057,a,1,广州,25
p0058,a,0,北京,35
p0059,a,1,上海,35
p0060,a,0,广州,35
p0061,a,1,北京,25
p0062,a,0,上海,25
p0063,a,1,广州,25
p0064,a,0,北京,35
p0065,a,1,上海,35
p0066,a,0,广州,35
p0067,a,1,北京,25
p0068,a,0,上海,25
p0069,a,1,广州,25
p0070,a,0,北京,35
p0071,a,1,上海,35
p0072,a,0,广州,35
p0073,a,1,北京,25
p0074,a,0,上海,25
p0075,a,1,广州,25
p0076,a,0,北京,35
p0077,a,1,上海,35
p0078,a,0,广州,35
p0079,a,1,北京,25
p0080,a,0,上海,25
p0081,a,1,广州,25
p0082,a,0,北京,35
p0083,a,1,上海,35
p0084,a,0,广州,35
p0085,a,1,北京,25
p0086,a,0,上海,25
p0087,a,1,广州,25
p0088,a,0,北京,35
p0089,a,1,上海,35
p0090,a,0,广州,35
p0091,a,1,北京,25
p0092,a,0,上海,25
p0093,a,1,广州,25
p0094,a,0,北京,35
p0095,a,1,上海,35
p0096,a,0,广州,35
p0097,a,1,北京,25
